날짜,호선,역명,구분,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시
2024-01-11,8호선,잠실(송파구청),하차,409,1435,3835,1988,1267,1192,1002,921,930,979,1003,1302,1762,754,451,319,298,160
2024-01-12,2호선,잠실(송파구청),승차,1926,5199,7200,4661,2904,2901,3253,3399,3726,4235,5829,7363,8877,5357,4984,4734,4027,1377
2024-01-12,2호선,잠실(송파구청),하차,1194,3095,6829,5504,3803,4070,3460,3776,3835,4368,4808,7436,10152,6615,3670,3428,3122,2034
2024-01-12,8호선,잠실(송파구청),승차,161,392,556,411,344,503,640,747,963,1290,1518,2018,2763,1436,1448,1382,1171,476
2024-01-12,8호선,잠실(송파구청),하차,382,1295,3356,1880,1119,1200,1134,1091,1002,1074,1129,1670,2170,1134,507,337,292,197
2024-01-13,2호선,잠실(송파구청),승차,798,1054,1951,2411,2758,3346,4277,4443,5007,5718,6591,7223,6294,5586,6215,6087,4495,1185
2024-01-13,2호선,잠실(송파구청),하차,952,1247,2391,3872,4263,5580,5233,5870,5835,6197,6543,6368,5041,3479,3005,2726,2875,1729
2024-01-13,8호선,잠실(송파구청),승차,95,127,197,258,326,505,622,802,1056,1410,1577,1651,1636,1354,1449,1365,1229,431
2024-01-13,8호선,잠실(송파구청),하차,285,363,719,923,1271,1834,1580,1939,1727,1586,1719,1547,1138,654,437,330,288,178
2024-01-14,2호선,잠실(송파구청),승차,488,563,1071,1681,1964,2253,2613,3100,3737,4335,4662,4919,4390,4219,5338,4847,2495,583
2024-01-14,2호선,잠실(송파구청),하차,624,742,1615,3182,3629,3865,4170,4515,3895,4106,4367,3664,3250,2344,2239,2030,1581,826
2024-01-14,8호선,잠실(송파구청),승차,76,78,139,192,245,326,519,723,874,1193,1130,1275,1240,1007,1214,1029,664,171
2024-01-14,8호선,잠실(송파구청),하차,149,257,506,772,941,1372,1384,1514,1363,1216,1130,906,709,398,298,236,133,90
2024-01-15,2호선,잠실(송파구청),승차,2042,5352,7073,5187,2829,2651,2850,3144,3387,4002,4432,5985,8700,5859,5279,3976,2173,782
2024-01-15,2호선,잠실(송파구청),하차,1200,3350,7655,6591,4117,3604,3285,3486,3344,3616,3956,5921,8989,6170,3612,2972,2550,1232
2024-01-15,8호선,잠실(송파구청),승차,194,409,541,413,343,507,525,655,813,1134,1253,1819,3012,1628,1423,1125,752,219
2024-01-15,8호선,잠실(송파구청),하차,425,1436,3875,1875,1155,1040,897,956,820,932,960,1204,1606,790,445,276,197,122
2024-01-16,2호선,잠실(송파구청),승차,2141,5349,7502,5033,2963,2762,2840,3204,3198,4054,4427,6278,8550,5759,5643,4718,3268,970
2024-01-16,2호선,잠실(송파구청),하차,1185,3337,7955,6377,4199,3779,3264,3260,3495,3669,4291,6153,9931,6013,3712,3367,2933,1382
2024-01-16,8호선,잠실(송파구청),승차,176,416,563,432,355,479,552,602,866,1129,1303,1813,2856,1454,1412,1361,919,273
2024-01-16,8호선,잠실(송파구청),하차,400,1442,3783,1967,1123,1115,884,937,932,871,914,1301,1772,793,466,302,254,123
2024-01-17,2호선,잠실(송파구청),승차,2074,5231,7546,4984,2948,2848,3066,3344,3516,3925,4701,6955,9131,5679,5268,4141,3373,951
2024-01-17,2호선,잠실(송파구청),하차,1217,3326,7852,6249,4176,3958,3608,3547,3671,3992,4129,6341,9348,6194,3603,3342,3138,1736
2024-01-17,8호선,잠실(송파구청),승차,175,426,528,371,332,581,651,788,886,1255,1331,1987,3110,1654,1395,1387,1138,256
2024-01-17,8호선,잠실(송파구청),하차,424,1451,3873,2003,1292,1211,1103,1025,895,915,998,1375,1709,880,436,339,261,128
2024-01-18,2호선,잠실(송파구청),승차,2097,5381,7536,4878,2942,2882,2955,3376,3546,3947,4811,7045,9058,5741,5994,4980,4222,1045
2024-01-18,2호선,잠실(송파구청),하차,1239,3321,7544,7056,4609,3878,3345,3420,3412,4048,4778,6624,10100,5976,3834,3669,3259,1747
2024-01-18,8호선,잠실(송파구청),승차,193,413,541,398,355,439,556,693,878,1245,1305,1780,2797,1514,1354,1416,1163,319
2024-01-18,8호선,잠실(송파구청),하차,418,1461,3760,2049,1292,1154,1009,1023,856,923,1000,1272,1822,1031,468,331,277,152
2024-01-19,2호선,잠실(송파구청),승차,2109,5129,7005,4518,3129,3045,3201,3504,3949,4693,5619,7511,9280,5699,5139,5073,4147,1450
2024-01-19,2호선,잠실(송파구청),하차,1186,3011,7115,5864,4163,4197,3709,3643,4055,4519,5339,6794,10220,6376,3470,3405,3409,2189
2024-01-19,8호선,잠실(송파구청),승차,183,435,506,388,410,537,609,746,938,1176,1489,1899,2814,1431,1331,1423,1103,480
2024-01-19,8호선,잠실(송파구청),하차,407,1307,3491,1823,1251,1216,1027,1034,999,1060,1124,1623,2175,1109,491,352,302,195
2024-01-20,2호선,잠실(송파구청),승차,783,1027,2031,2544,2787,3545,4257,4515,4906,5715,6911,7600,6567,6053,5824,5054,4087,1159
2024-01-20,2호선,잠실(송파구청),하차,1002,1306,2514,3880,4667,5478,5626,5913,5866,6289,6686,6131,4932,3174,2709,2404,2261,2076
