날짜,호선,역명,구분,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시
2024-03-29,2호선,잠실(송파구청),승차,2073,5520,7380,4947,3082,3134,3235,3653,4017,4755,6579,8529,9692,6298,5702,6310,4640,1722
2024-03-29,2호선,잠실(송파구청),하차,1278,3410,7402,6073,4558,4347,4349,4246,4371,5456,6024,7795,10598,7403,3463,4087,4480,2377
2024-03-29,8호선,잠실(송파구청),승차,180,453,595,438,427,567,687,830,989,1269,1527,1995,2825,1605,1384,1574,1252,525
2024-03-29,8호선,잠실(송파구청),하차,502,1478,3820,1887,1259,1266,1172,1226,1102,1151,1235,1795,2293,1181,580,435,339,194
2024-03-30,2호선,잠실(송파구청),승차,1014,1176,2257,2672,2947,3657,4547,5146,6246,7423,8526,7937,7677,7435,7416,7687,4962,1468
2024-03-30,2호선,잠실(송파구청),하차,1198,1330,2387,4405,5361,6493,6885,8003,7519,7620,7734,7249,5534,4308,4095,3268,2828,1919
2024-03-30,8호선,잠실(송파구청),승차,108,122,230,308,350,539,718,882,1164,1570,1978,1918,1929,1768,1736,1764,1152,414
2024-03-30,8호선,잠실(송파구청),하차,332,446,644,1044,1536,2013,1912,2060,2208,1884,1975,1619,1247,836,553,390,283,172
2024-03-31,2호선,잠실(송파구청),승차,702,844,1353,1884,2147,2951,3924,4296,5054,5716,6337,6652,6629,6218,6704,5842,2973,935
2024-03-31,2호선,잠실(송파구청),하차,714,881,1675,3202,4245,5248,5601,5989,5966,5341,5936,6226,4259,3140,2633,2251,1629,942
2024-03-31,8호선,잠실(송파구청),승차,65,104,159,234,260,411,540,783,1035,1280,1566,1669,1615,1487,1448,1283,770,256
2024-03-31,8호선,잠실(송파구청),하차,172,272,522,787,1162,1649,1675,1826,1752,1356,1432,1214,876,507,343,267,189,117
2024-04-01,2호선,잠실(송파구청),승차,2011,5634,8002,5784,2987,2738,3006,3188,3596,4207,4997,6692,9014,6266,5949,4807,3108,1006
2024-04-01,2호선,잠실(송파구청),하차,1436,3644,7429,5842,4792,4321,3859,3784,3866,4141,5123,6641,10313,6403,3998,3360,2879,1340
2024-04-01,8호선,잠실(송파구청),승차,169,431,643,464,357,493,588,668,937,1205,1287,1822,2816,1718,1428,1264,874,249
2024-04-01,8호선,잠실(송파구청),하차,551,1646,3621,1927,1188,1077,1084,1050,872,985,1072,1285,1705,785,517,328,228,130
2024-04-02,2호선,잠실(송파구청),승차,2174,5800,8379,5815,3238,2767,3061,3767,4000,4964,5788,7545,9861,6813,6799,6153,4487,1558
2024-04-02,2호선,잠실(송파구청),하차,1374,3789,8120,6403,5040,4690,4289,4233,4520,5147,5689,8080,11719,7402,4447,3746,3559,1424
2024-04-02,8호선,잠실(송파구청),승차,191,458,637,439,374,486,606,869,1048,1359,1473,1967,3039,1750,1630,1528,1193,346
2024-04-02,8호선,잠실(송파구청),하차,512,1645,3989,2038,1268,1253,1101,1054,970,1032,1090,1613,2105,1039,585,364,280,141
2024-04-03,2호선,잠실(송파구청),승차,2260,5940,7983,5254,3332,2819,3055,3539,3836,4840,5571,7911,9717,6687,6501,6351,4789,1693
2024-04-03,2호선,잠실(송파구청),하차,1342,3729,8002,6564,5066,4646,3873,4310,4600,5056,5816,8200,11459,7387,4094,3879,3597,1493
2024-04-03,8호선,잠실(송파구청),승차,190,455,639,451,404,550,630,749,873,1223,1360,2024,2874,1640,1554,1525,1111,421
2024-04-03,8호선,잠실(송파구청),하차,523,1569,3788,2132,1316,1184,1098,1045,947,1034,1110,1578,1988,1015,559,381,294,154
2024-04-04,2호선,잠실(송파구청),승차,2084,5853,7901,5643,3511,3140,3740,4175,5095,6158,7252,9135,11024,7708,7771,7266,5796,1925
2024-04-04,2호선,잠실(송파구청),하차,1353,3767,8070,6968,6186,6242,5383,5208,5644,6379,6643,9672,12331,7994,4655,3780,3786,2026
2024-04-04,8호선,잠실(송파구청),승차,167,500,627,441,403,578,730,1026,1184,1653,1657,2195,3086,1842,1853,1847,1420,438
2024-04-04,8호선,잠실(송파구청),하차,518,1605,3986,2157,1626,1594,1255,1223,1198,1301,1410,1749,2358,1206,622,394,289,161
2024-04-05,2호선,잠실(송파구청),승차,2162,5531,7559,4911,3188,3421,3938,4527,5882,7058,8815,10626,11683,8102,8000,7315,7352,2644
2024-04-05,2호선,잠실(송파구청),하차,1313,3426,7007,5722,6039,6189,6122,6247,6448,7665,8859,9996,14305,9106,4549,3974,4134,2109
2024-04-05,8호선,잠실(송파구청),승차,184,461,596,423,446,558,748,973,1349,1625,1926,2318,3088,1896,1995,1840,1751,642
2024-04-05,8호선,잠실(송파구청),하차,458,1448,3543,2058,1615,1597,1535,1474,1378,1433,1702,2232,2929,1594,849,463,346,188
2024-04-06,2호선,잠실(송파구청),승차,1036,1257,2255,2935,3284,4368,5664,6710,9033,11559,14329,12886,11557,11014,11419,11368,7654,2348
2024-04-06,2호선,잠실(송파구청),하차,1404,1711,2759,5532,8035,10004,10769,11710,12408,13264,13222,10018,7807,5866,5166,4083,3074,1890
2024-04-06,8호선,잠실(송파구청),승차,108,151,227,307,412,680,947,1277,1706,2447,2696,2569,2646,2391,2441,2160,1588,587
2024-04-06,8호선,잠실(송파구청),하차,407,494,730,1176,2044,2787,2516,2984,2987,2801,2614,2166,1606,1072,702,422,307,177
2024-04-07,2호선,잠실(송파구청),승차,694,792,1383,2054,2376,3174,4692,6306,7077,8650,10043,9106,8976,8470,8929,8072,4468,1253
2024-04-07,2호선,잠실(송파구청),하차,840,994,2082,4068,6025,7590,7872,8819,9057,8830,7998,7024,6523,4084,3427,2565,1874,943
2024-04-07,8호선,잠실(송파구청),승차,77,101,162,251,317,495,734,1142,1471,1921,2214,2060,1907,1712,1859,1717,954,302
2024-04-07,8호선,잠실(송파구청),하차,191,327,628,980,1515,2084,2031,2290,2280,1870,1693,1496,1091,715,451,307,184,116
2024-04-08,2호선,잠실(송파구청),승차,2141,5593,8202,5529,3084,2972,3115,3610,4113,5074,5946,7384,9433,6703,6680,5434,3364,1198
2024-04-08,2호선,잠실(송파구청),하차,1295,3874,7639,6172,5486,5257,4286,4370,4381,4809,5730,7203,10322,6552,3993,3220,3140,1260
2024-04-08,8호선,잠실(송파구청),승차,171,448,618,449,378,527,640,753,924,1398,1453,2018,2894,1659,1503,1273,881,260
2024-04-08,8호선,잠실(송파구청),하차,524,1630,3733,1948,1374,1247,1084,1061,853,936,1162,1408,1706,852,531,386,250,111
2024-04-09,2호선,잠실(송파구청),승차,2140,6091,8072,5339,3365,2983,3402,3929,4673,6249,6549,8467,10708,7141,6888,6268,4687,1937
2024-04-09,2호선,잠실(송파구청),하차,1479,3871,9018,6907,5401,5163,4280,4535,4476,5048,5518,8468,11750,7232,4225,4430,4017,2180
2024-04-09,8호선,잠실(송파구청),승차,192,508,639,440,403,568,683,809,1067,1381,1447,1895,2810,1642,1568,1574,1225,564
2024-04-09,8호선,잠실(송파구청),하차,504,1732,4297,2253,1369,1241,1030,1007,928,1043,1175,1651,2342,1232,637,417,398,228
2024-04-10,2호선,잠실(송파구청),승차,678,815,1393,1776,2311,3117,4222,4518,4972,6118,7107,7504,7187,6521,7544,6653,3170,995
2024-04-10,2호선,잠실(송파구청),하차,882,1252,2312,4097,5348,6112,5908,5960,6514,5900,6015,6545,4420,3346,2911,2534,2114,1077
2024-04-10,8호선,잠실(송파구청),승차,89,106,156,258,291,453,556,784,1078,1490,1623,1658,1668,1442,1459,1372,734,282
2024-04-10,8호선,잠실(송파구청),하차,243,366,697,939,1345,1823,1717,1776,1657,1363,1391,1264,910,571,376,256,195,132
2024-04-11,2호선,잠실(송파구청),승차,2140,5422,7933,5574,3436,2868,3099,3346,3688,4230,5123,7204,9601,6141,5849,4742,3184,1098
2024-04-11,2호선,잠실(송파구청),하차,1394,3785,7659,6197,4487,4619,3553,4005,3818,4310,5045,6788,9786,6214,3946,4216,3137,1707
2024-04-11,8호선,잠실(송파구청),승차,168,468,591,437,376,492,532,673,845,1169,1257,1751,2879,1536,1365,1206,907,322
2024-04-11,8호선,잠실(송파구청),하차,553,1515,3684,2058,1216,1079,967,917,853,979,937,1268,1658,811,464,349,299,171
2024-04-12,2호선,잠실(송파구청),승차,2200,5602,7709,4902,3054,3021,3422,3692,4102,4980,6542,8231,10049,6483,5581,5075,4988,1769
2024-04-12,2호선,잠실(송파구청),하차,1405,3491,7263,6008,4371,4549,3882,4634,4218,5123,6013,8038,10815,6458,4103,4067,3726,2442
2024-04-12,8호선,잠실(송파구청),승차,181,456,625,484,419,562,608,783,896,1244,1497,1862,2776,1567,1378,1469,1156,500
2024-04-12,8호선,잠실(송파구청),하차,455,1533,3885,1832,1285,1193,1057,1086,982,1025,1248,1700,2162,1126,612,415,281,196
2024-04-13,2호선,잠실(송파구청),승차,988,1269,2203,2759,3023,3769,4265,4960,5564,6533,7888,7024,6552,5922,6549,6883,4225,1454
2024-04-13,2호선,잠실(송파구청),하차,1325,1525,2184,3960,5194,5644,6251,6002,6510,6833,6179,6952,4889,3886,3958,3338,2656,1933
2024-04-13,8호선,잠실(송파구청),승차,105,167,213,310,332,524,701,853,1160,1369,1587,1593,1614,1453,1501,1465,958,419
2024-04-13,8호선,잠실(송파구청),하차,361,495,673,920,1441,1734,1565,1775,1745,1494,1637,1498,1086,784,554,327,247,171
2024-04-14,2호선,잠실(송파구청),승차,680,774,1337,1813,2060,2651,3531,4411,4458,4789,5472,4882,5041,4948,5490,4574,2502,941
2024-04-14,2호선,잠실(송파구청),하차,781,929,1543,2873,3470,4615,4760,4937,4372,4612,4497,4404,3762,2783,2565,2271,1572,967
2024-04-14,8호선,잠실(송파구청),승차,78,106,140,200,235,350,490,681,895,1119,1188,1136,1252,1026,1129,978,604,190
2024-04-14,8호선,잠실(송파구청),하차,189,258,522,740,1015,1311,1446,1276,1368,1135,1123,948,674,450,384,284,156,89
2024-04-15,2호선,잠실(송파구청),승차,2187,5859,7854,5054,2844,2536,2725,2892,2974,3438,4068,5660,8047,4622,3681,3136,2213,693
2024-04-15,2호선,잠실(송파구청),하차,1405,3662,7010,4873,3194,3414,3043,2833,2873,3287,3899,6006,8910,5965,3379,2891,2521,1202
2024-04-15,8호선,잠실(송파구청),승차,192,474,588,454,390,468,550,644,783,979,1123,1751,2930,1433,1067,1014,724,224
2024-04-15,8호선,잠실(송파구청),하차,499,1608,3710,1757,1062,893,868,879,706,681,846,1144,1524,737,465,305,241,102
2024-04-16,2호선,잠실(송파구청),승차,2075,5621,7619,5964,3564,2811,2846,3104,3130,3741,4520,6713,9169,5420,5045,4119,3286,965
2024-04-16,2호선,잠실(송파구청),하차,1378,3605,8229,6502,3861,3905,2988,3074,3358,3677,4559,6599,9816,6218,3718,3658,3161,1456
2024-04-16,8호선,잠실(송파구청),승차,181,457,637,478,399,540,597,688,840,1010,1229,1639,2793,1503,1379,1130,922,241
2024-04-16,8호선,잠실(송파구청),하차,536,1668,3914,2118,1126,1056,830,796,757,816,874,1240,1624,856,489,353,265,147
2024-04-17,2호선,잠실(송파구청),승차,2071,5811,8037,5462,3394,2964,2968,3283,3528,3864,4702,6943,8974,5644,4917,4043,3060,958
2024-04-17,2호선,잠실(송파구청),하차,1458,3780,7940,6027,4041,3849,3109,3449,3445,3628,4469,6636,9954,6137,3608,3323,3835,1554
2024-04-17,8호선,잠실(송파구청),승차,162,454,625,463,420,456,521,660,837,1218,1180,1839,2760,1464,1298,1206,816,284
2024-04-17,8호선,잠실(송파구청),하차,589,1524,3892,2078,1116,984,890,933,830,889,944,1272,1662,800,490,301,264,148
2024-04-18,2호선,잠실(송파구청),승차,2253,5310,7871,5703,3436,2957,3126,3142,3408,3830,4914,7138,9146,5523,5175,4402,3491,1134
2024-04-18,2호선,잠실(송파구청),하차,1437,3737,7831,6128,4328,3692,3436,3533,3410,3677,4829,6888,9817,6142,3746,3749,3426,1674
2024-04-18,8호선,잠실(송파구청),승차,173,438,633,415,417,483,597,635,863,1109,1216,1714,2755,1516,1330,1171,918,304
2024-04-18,8호선,잠실(송파구청),하차,508,1633,3815,2098,1157,1079,894,867,794,930,882,1303,1702,874,550,359,261,168
2024-04-19,2호선,잠실(송파구청),승차,2125,5733,7795,4878,3100,2978,3349,3575,3969,5073,6001,7378,8627,5471,4930,4744,3759,1487
2024-04-19,2호선,잠실(송파구청),하차,1332,3431,7096,6429,4272,3878,3761,3849,3992,4501,5461,7502,10311,6113,3693,3252,3648,2032
2024-04-19,8호선,잠실(송파구청),승차,173,478,613,420,393,514,658,808,962,1269,1451,1849,2549,1451,1246,1233,1012,439
2024-04-19,8호선,잠실(송파구청),하차,442,1433,3169,2100,1180,1104,1044,1125,889,1024,1118,1545,1965,1037,552,339,316,182
2024-04-20,2호선,잠실(송파구청),승차,903,1229,2218,2564,2771,3286,4016,4312,4873,5555,6933,6709,6005,5126,5595,5340,3228,976
2024-04-20,2호선,잠실(송파구청),하차,1278,1567,2377,3740,4724,5321,5322,5771,5541,6068,6157,5764,4171,2999,2734,2514,2215,1508
2024-04-20,8호선,잠실(송파구청),승차,96,145,217,288,383,559,692,833,1098,1421,1600,1658,1502,1262,1303,1236,877,325
2024-04-20,8호선,잠실(송파구청),하차,397,466,656,977,1357,1839,1607,1694,1655,1486,1593,1247,942,709,397,332,254,147
2024-04-21,2호선,잠실(송파구청),승차,536,717,1358,1847,2134,2600,3181,3764,3890,4324,5059,4434,4511,4220,4965,3940,1898,677
2024-04-21,2호선,잠실(송파구청),하차,689,1045,1736,3056,3355,4106,4084,3986,3758,4158,3979,4160,3206,2599,2380,1979,1472,864
2024-04-21,8호선,잠실(송파구청),승차,84,83,154,212,262,346,446,626,815,1045,1170,1135,1158,1046,1198,870,529,148
2024-04-21,8호선,잠실(송파구청),하차,206,284,526,729,989,1254,1259,1293,1094,1143,1032,894,651,373,300,216,148,75
2024-04-22,2호선,잠실(송파구청),승차,2200,5735,8013,5398,2873,2599,2707,2878,3073,3378,4271,5828,8399,5275,4641,3963,2375,841
2024-04-22,2호선,잠실(송파구청),하차,1396,3694,7471,5762,3721,3531,3113,2999,3120,3554,3998,6117,9199,5979,3457,3064,2623,1191
2024-04-22,8호선,잠실(송파구청),승차,186,428,653,437,360,503,590,638,731,1052,1079,1683,2756,1417,1222,1081,789,184
2024-04-22,8호선,잠실(송파구청),하차,519,1633,3657,1878,969,997,880,743,799,791,880,1190,1605,752,453,323,239,97
2024-04-23,2호선,잠실(송파구청),승차,2268,6044,8230,5255,3216,2823,2828,3235,3266,4058,4517,6339,8764,5315,4790,3825,2687,836
2024-04-23,2호선,잠실(송파구청),하차,1356,3881,7682,6205,3837,3779,3334,3430,3172,3705,4425,6399,9298,6045,3589,3207,2885,1295
2024-04-23,8호선,잠실(송파구청),승차,184,502,632,432,425,482,579,654,871,1065,1202,1758,2795,1463,1319,1146,780,224
2024-04-23,8호선,잠실(송파구청),하차,504,1683,3707,2055,1084,1051,1041,1003,800,895,839,1244,1583,791,427,286,274,120
2024-04-24,2호선,잠실(송파구청),승차,2046,5498,7495,5282,3298,2699,2802,3125,3096,4256,4626,6969,8614,5373,4888,4175,3371,1082
2024-04-24,2호선,잠실(송파구청),하차,1376,3504,8019,6595,3863,3446,3340,3487,3401,3857,4445,6355,9559,5975,3665,3568,2964,1555
2024-04-24,8호선,잠실(송파구청),승차,174,432,633,423,392,462,614,672,789,1065,1216,1769,2806,1547,1380,1259,1042,319
2024-04-24,8호선,잠실(송파구청),하차,486,1626,3978,2126,1162,1016,944,884,856,823,894,1343,1693,922,493,334,259,126
2024-04-25,2호선,잠실(송파구청),승차,2168,5968,7744,5276,3230,2853,2897,3244,3434,4357,5033,6669,8689,5675,5668,5173,3623,1285
2024-04-25,2호선,잠실(송파구청),하차,1356,3634,7821,6397,4345,3615,3588,3695,3587,4411,4798,6727,10013,6186,4256,3782,3396,1675
2024-04-25,8호선,잠실(송파구청),승차,189,474,612,426,431,463,621,640,844,1129,1236,1778,2718,1551,1382,1407,966,365
2024-04-25,8호선,잠실(송파구청),하차,578,1517,3799,2126,1203,1068,980,913,939,1032,1018,1443,1763,913,497,322,263,156
2024-04-26,2호선,잠실(송파구청),승차,2101,5769,7625,4916,3158,3159,3352,3647,4222,6121,6914,8234,9804,6171,5549,6371,5361,1904
2024-04-26,2호선,잠실(송파구청),하차,1412,3567,7277,6904,4545,4270,4652,4551,4584,5412,6481,7927,10769,6972,3806,3707,4245,2196
2024-04-26,8호선,잠실(송파구청),승차,181,458,588,422,400,558,683,753,991,1338,1553,2066,2709,1560,1391,1649,1196,520
2024-04-26,8호선,잠실(송파구청),하차,487,1394,3761,2174,1313,1196,1279,1165,1140,1141,1325,1752,2255,1162,671,442,307,193
2024-04-27,2호선,잠실(송파구청),승차,1108,1334,2529,2836,2989,4412,5109,5538,5701,6974,7690,7932,7123,6995,9061,9538,5634,1816
2024-04-27,2호선,잠실(송파구청),하차,1481,1651,2986,4465,5040,6315,6998,6607,7181,7703,8354,8465,6318,4533,3953,3451,3108,1937
2024-04-27,8호선,잠실(송파구청),승차,126,147,272,315,378,581,692,837,1123,1523,1777,1711,1701,1479,1708,2011,1362,547
2024-04-27,8호선,잠실(송파구청),하차,371,506,843,1073,1516,1987,1825,2127,2067,1902,2062,1861,1329,900,454,432,301,193
2024-04-28,2호선,잠실(송파구청),승차,839,886,1380,1911,2168,2837,3711,4223,4581,5172,5824,6018,5845,5045,6258,5228,2727,926
2024-04-28,2호선,잠실(송파구청),하차,891,978,1868,3504,4049,4834,5000,5392,5161,4695,4971,5141,4286,3046,2661,2401,1803,1080
2024-04-28,8호선,잠실(송파구청),승차,66,86,163,239,250,362,583,819,1074,1269,1403,1442,1388,1107,1314,1109,732,248
2024-04-28,8호선,잠실(송파구청),하차,201,262,568,911,1069,1461,1503,1639,1584,1208,1361,1078,731,495,325,263,153,89
2024-04-29,2호선,잠실(송파구청),승차,2167,5432,7884,5539,3165,2722,3012,3224,3212,4145,4651,6111,8590,5514,5532,4359,2385,912
2024-04-29,2호선,잠실(송파구청),하차,1424,3675,7689,6004,4021,3808,3603,3339,3354,4094,4514,6305,9375,5672,4079,3373,2901,1304
2024-04-29,8호선,잠실(송파구청),승차,201,427,614,453,398,500,605,672,827,1000,1244,1682,2808,1507,1350,1112,797,289
2024-04-29,8호선,잠실(송파구청),하차,506,1553,3705,1915,1117,1068,1038,881,782,884,905,1289,1572,799,488,339,240,125
2024-04-30,2호선,잠실(송파구청),승차,2332,5933,7920,5391,3075,2811,3334,3546,3885,4641,5607,7471,9569,6148,6251,5181,3661,1522
2024-04-30,2호선,잠실(송파구청),하차,1351,3668,8364,6745,4356,3891,3750,3800,4169,4616,5365,6965,9976,6984,3569,4310,3671,1941
2024-04-30,8호선,잠실(송파구청),승차,180,505,621,472,387,462,615,782,899,1191,1447,1931,2911,1495,1389,1249,1027,426
2024-04-30,8호선,잠실(송파구청),하차,535,1620,4029,2148,1193,1076,1045,1089,971,1059,1070,1452,2039,933,577,383,328,202
2024-05-01,2호선,잠실(송파구청),승차,925,1625,2435,2543,2798,3034,3703,4036,4476,5485,6774,6944,6400,5309,7319,6008,3018,1098
2024-05-01,2호선,잠실(송파구청),하차,952,1405,2886,4959,5033,5538,5110,5277,5123,5808,5646,5470,4600,3475,3014,3448,2610,1271
2024-05-01,8호선,잠실(송파구청),승차,97,242,299,300,379,556,772,926,1114,1500,1651,1635,1585,1354,1540,1359,911,289
2024-05-01,8호선,잠실(송파구청),하차,395,692,1219,1550,1655,1658,1776,1731,1513,1428,1403,1275,1069,590,470,306,224,109
2024-05-02,2호선,잠실(송파구청),승차,2223,5698,7904,5553,3498,2975,3267,3518,3899,4750,5527,7072,9471,6144,6320,5373,3201,1241
2024-05-02,2호선,잠실(송파구청),하차,1444,3823,8651,6770,4568,4036,3818,3812,3923,4406,5437,6775,10171,6304,4272,4030,3647,1655
2024-05-02,8호선,잠실(송파구청),승차,176,475,640,474,447,514,585,748,925,1147,1368,1804,2799,1566,1478,1275,956,338
2024-05-02,8호선,잠실(송파구청),하차,563,1625,3673,1890,1289,1138,1131,1025,915,1003,1028,1487,1824,846,536,419,289,177
2024-05-03,2호선,잠실(송파구청),승차,2228,5755,7467,4884,3013,3067,3447,4189,4694,7475,7180,8532,9891,6422,6036,6670,5513,1809
2024-05-03,2호선,잠실(송파구청),하차,1338,3629,9110,7806,4386,4356,4615,4607,4683,5891,6391,8098,11340,6617,4498,3966,4186,2091
2024-05-03,8호선,잠실(송파구청),승차,189,471,591,459,429,569,676,823,1152,1347,1538,2009,2837,1568,1446,1373,1173,553
2024-05-03,8호선,잠실(송파구청),하차,465,1520,4127,2162,1302,1201,1149,1347,1146,1223,1293,1714,2184,1182,557,416,339,170
2024-05-04,2호선,잠실(송파구청),승차,1239,1230,2185,2712,3104,3790,4767,5467,5476,6220,7431,7345,6774,6700,7457,7459,4419,1333
2024-05-04,2호선,잠실(송파구청),하차,1351,1490,2494,4674,5083,6022,5776,6893,6225,7236,7236,7764,5621,3774,3418,3318,2589,1798
2024-05-04,8호선,잠실(송파구청),승차,98,114,218,288,384,541,721,858,1146,1373,1649,1656,1528,1460,1656,1577,1030,378
2024-05-04,8호선,잠실(송파구청),하차,392,463,725,1118,1496,1763,1762,1882,1987,1795,1770,1482,1089,816,517,383,278,183
2024-05-05,2호선,잠실(송파구청),승차,729,716,1153,1558,1852,2285,2801,3366,4025,4733,6087,5734,5290,4850,5642,5076,2898,787
2024-05-05,2호선,잠실(송파구청),하차,786,909,1723,3339,3963,4437,5012,5544,4676,4818,4868,4293,3444,2562,2199,1875,1549,1061
2024-05-05,8호선,잠실(송파구청),승차,74,76,141,194,203,344,542,769,1013,1268,1464,1532,1466,1292,1425,1299,865,314
2024-05-05,8호선,잠실(송파구청),하차,171,292,553,790,1192,1532,1619,1678,1597,1416,1302,1104,926,518,400,251,153,110
2024-05-06,2호선,잠실(송파구청),승차,743,754,1167,1431,1728,2419,2957,3292,3997,4876,5420,5615,5345,4768,5343,4178,2213,617
2024-05-06,2호선,잠실(송파구청),하차,661,851,1716,3259,3677,4146,4558,4530,4548,4375,4404,3824,3388,2617,2214,2001,1462,933
2024-05-06,8호선,잠실(송파구청),승차,81,89,128,176,225,368,589,715,921,1312,1638,1538,1445,1220,1270,1104,722,192
2024-05-06,8호선,잠실(송파구청),하차,145,278,581,912,1087,1576,1505,1693,1552,1329,1248,1018,768,451,333,244,153,87
2024-05-07,2호선,잠실(송파구청),승차,2016,5467,7862,5443,3538,2909,2960,2951,3107,3736,4298,5958,8586,5390,4913,3622,2402,825
2024-05-07,2호선,잠실(송파구청),하차,1392,3740,7613,6356,3722,3097,3058,3199,3194,3659,4069,6086,9226,6295,3934,3144,3272,1302
2024-05-07,8호선,잠실(송파구청),승차,164,428,637,456,428,526,554,631,790,1098,1286,1711,3028,1644,1384,1117,778,211
2024-05-07,8호선,잠실(송파구청),하차,561,1583,3911,2232,1108,861,853,957,805,846,953,1259,1640,868,441,345,227,134
2024-05-08,2호선,잠실(송파구청),승차,2334,6018,8016,5474,3091,2684,2958,3146,3290,3822,4527,6889,9053,5840,5268,4421,2816,924
2024-05-08,2호선,잠실(송파구청),하차,1460,3605,8207,6231,3749,3210,3233,3483,3585,3823,4531,7159,10422,6734,3674,3142,3062,1312
2024-05-08,8호선,잠실(송파구청),승차,166,490,626,446,378,472,519,642,830,1034,1227,1894,3036,1615,1455,1219,779,219
2024-05-08,8호선,잠실(송파구청),하차,514,1685,3954,1951,1041,902,856,893,802,899,951,1329,1775,818,495,339,212,112
2024-05-09,2호선,잠실(송파구청),승차,2255,6035,8094,5545,3418,3025,3009,3268,3573,4703,5241,6852,8934,5634,5554,5235,3673,1173
2024-05-09,2호선,잠실(송파구청),하차,1388,3867,8853,6519,4144,3789,3162,3548,3311,4363,4919,7234,10114,6747,3970,4152,3447,1841
2024-05-09,8호선,잠실(송파구청),승차,191,463,693,457,375,497,532,717,960,1077,1232,1778,2754,1532,1392,1390,1111,363
2024-05-09,8호선,잠실(송파구청),하차,568,1607,4020,2234,1158,1055,929,880,877,894,963,1365,1800,1020,513,381,276,190
2024-05-10,2호선,잠실(송파구청),승차,2168,5743,8054,5187,3405,3014,3314,3557,4457,7286,7263,8207,9810,6193,5999,6407,4853,1767
2024-05-10,2호선,잠실(송파구청),하차,1502,3931,10461,7895,4064,3699,4238,4226,4331,5754,6466,7970,10552,7161,4163,3533,4372,2214
2024-05-10,8호선,잠실(송파구청),승차,168,487,604,453,402,474,644,801,917,1334,1559,2064,2791,1535,1386,1466,1117,450
2024-05-10,8호선,잠실(송파구청),하차,545,1829,4226,1983,1244,1149,1136,1125,929,1049,1235,1664,2175,1146,563,406,334,241
2024-05-11,2호선,잠실(송파구청),승차,1177,1327,2362,2774,3070,3649,4371,4965,5598,6070,7467,7510,6713,5679,6584,6493,3483,1114
2024-05-11,2호선,잠실(송파구청),하차,1214,1507,2441,4440,5007,5917,6078,6698,6697,7295,6755,6171,4520,3393,2851,2792,2481,1427
2024-05-11,8호선,잠실(송파구청),승차,118,137,221,293,382,535,691,839,1226,1684,1844,1981,1918,1523,1720,1605,1051,374
2024-05-11,8호선,잠실(송파구청),하차,350,482,735,1012,1569,1605,1571,1765,2076,1740,1705,1521,1175,631,493,347,289,148
2024-05-12,2호선,잠실(송파구청),승차,831,882,1358,2126,2229,3071,3674,4329,4428,5094,6223,5772,5734,5564,6758,5926,2816,819
2024-05-12,2호선,잠실(송파구청),하차,706,1008,1884,3828,4206,4623,5023,5089,5214,5066,5221,5261,4012,3010,3240,2751,1915,995
2024-05-12,8호선,잠실(송파구청),승차,76,79,154,217,271,381,546,642,938,1195,1455,1288,1265,1201,1348,1143,775,243
2024-05-12,8호선,잠실(송파구청),하차,180,270,537,762,1084,1445,1402,1464,1412,1299,1193,1017,787,498,383,256,183,98
2024-05-13,2호선,잠실(송파구청),승차,2197,5832,7898,5326,3115,2868,3090,3238,3420,4154,4890,6150,8669,5548,5316,4490,3235,929
2024-05-13,2호선,잠실(송파구청),하차,1451,3756,8430,6181,4180,3662,3436,3466,3211,3901,4797,6450,9902,6125,3673,3347,2987,1407
2024-05-13,8호선,잠실(송파구청),승차,190,472,597,461,408,493,571,686,828,1039,1156,1664,2826,1534,1421,1121,1004,255
2024-05-13,8호선,잠실(송파구청),하차,521,1613,3794,1894,1150,959,992,846,788,812,980,1271,1736,861,465,315,253,136
2024-05-14,2호선,잠실(송파구청),승차,2409,6215,7974,5528,3330,3084,3306,3484,4072,6640,6469,8012,9818,6393,6168,5937,3835,1539
2024-05-14,2호선,잠실(송파구청),하차,1399,4019,10808,8614,4386,3663,3447,3892,3766,4830,5101,7316,10884,6588,4200,3837,3985,2151
2024-05-14,8호선,잠실(송파구청),승차,188,498,640,467,419,521,600,816,1049,1277,1377,1849,2733,1477,1478,1467,1031,462
2024-05-14,8호선,잠실(송파구청),하차,579,1649,4187,2160,1200,1109,1113,1076,977,880,1063,1538,2062,1109,604,396,342,208
2024-05-15,2호선,잠실(송파구청),승차,754,859,1442,1967,2366,2884,3726,3945,4228,5093,6060,6141,5655,5214,6002,5162,2334,624
2024-05-15,2호선,잠실(송파구청),하차,1031,1262,2363,4322,4250,4922,5069,4942,5976,5473,4373,4418,3478,2604,2467,2201,1840,995
2024-05-15,8호선,잠실(송파구청),승차,84,120,177,253,250,456,603,787,1257,1512,1723,1615,1534,1285,1478,1280,766,203
2024-05-15,8호선,잠실(송파구청),하차,256,332,692,981,1209,1628,1610,1511,1689,1287,1178,1096,858,474,363,261,164,117
