weekday_num,요일,traffic_total_sum,target_total_sum,표본일수,traffic_scaled_0_1,target_scaled_0_1
0,월요일,9943207.0,238727,52,0.6644452301050588,0.0673274260536324
1,화요일,10399999.0,235311,52,0.7934368974588648,0.034101409382264546
2,수요일,10826760.0,231805,52,0.9139482307387331,0.0
3,목요일,10914252.0,236019,52,0.9386547469651976,0.040987832041318534
4,금요일,11131491.0,265393,52,1.0,0.3266965597066462
5,토요일,9229127.0,289050,52,0.4627990326585061,0.5567983970586805
6,일요일,7590239.0,334616,51,0.0,1.0
