요일,corr,표본일수
월요일,-0.1678757082394196,52
화요일,-0.2036909995794579,52
수요일,0.07941987224628616,52
목요일,-0.0708352695126622,52
금요일,0.05655884929621346,52
토요일,0.43852361849306687,52
일요일,0.409966533570067,51
