일자,요일,지점명,지점번호,방향,구분,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,요일(2)
20230103,화,원효대교,C-08,유출,원효대교북단->원효대교남단,334.0,208.0,164.0,142.0,162.0,305.0,613.0,1327.0,1555.0,1219.0,1145.0,1083.0,1096.0,1156.0,1305.0,1351.0,1545.0,1602.0,1735.0,1329.0,1091.0,880.0,646.0,500.0,
20230103,화,한강대교,C-09,유입,한강대교남단->한강대교북단,808.0,519.0,382.0,334.0,478.0,1155.0,2161.0,2940.0,2659.0,2631.0,2579.0,2398.0,2142.0,2256.0,2221.0,2118.0,2105.0,2047.0,1810.0,1566.0,1516.0,1509.0,1473.0,1196.0,
20230103,화,한강대교,C-09,유출,한강대교북단->한강대교남단,962.0,671.0,502.0,361.0,454.0,871.0,1577.0,1874.0,1893.0,1972.0,1947.0,1815.0,1752.0,1905.0,2087.0,2202.0,2678.0,3255.0,3883.0,3334.0,2816.0,2351.0,2094.0,1478.0,
20230104,수,서강대교,C-06,유입,서강대교남단->서강대교북단,242.0,157.0,108.0,105.0,110.0,225.0,542.0,787.0,1108.0,1227.0,1102.0,931.0,911.0,970.0,971.0,923.0,998.0,1347.0,1757.0,1113.0,698.0,652.0,517.0,344.0,
20230104,수,서강대교,C-06,유출,서강대교북단->서강대교남단,290.0,200.0,162.0,255.0,253.0,278.0,643.0,1826.0,2103.0,1415.0,1255.0,1112.0,1100.0,1286.0,1199.0,1343.0,1463.0,1516.0,1235.0,846.0,779.0,777.0,695.0,448.0,
20230104,수,마포대교,C-07,유입,마포대교남단->마포대교북단,1048.0,642.0,474.0,342.0,440.0,1274.0,2641.0,3765.0,4008.0,3817.0,3665.0,3428.0,3153.0,3365.0,3467.0,3015.0,3199.0,3962.0,4295.0,3042.0,2733.0,2482.0,2126.0,1484.0,
20230104,수,마포대교,C-07,유출,마포대교북단->마포대교남단,790.0,464.0,373.0,367.0,486.0,833.0,1997.0,3730.0,3744.0,2986.0,2741.0,2598.0,2478.0,2863.0,2903.0,2936.0,3251.0,3324.0,3519.0,3222.0,2741.0,2370.0,2052.0,1328.0,
20230104,수,원효대교,C-08,유입,원효대교남단->원효대교북단,568.0,348.0,224.0,157.0,223.0,607.0,1080.0,1912.0,2337.0,2092.0,1809.0,1665.0,1530.0,1751.0,1673.0,1488.0,1596.0,1603.0,1707.0,1188.0,922.0,902.0,738.0,599.0,
20230104,수,원효대교,C-08,유출,원효대교북단->원효대교남단,365.0,261.0,178.0,129.0,184.0,298.0,595.0,1333.0,1579.0,1123.0,1072.0,1111.0,1014.0,1217.0,1265.0,1330.0,1600.0,1488.0,1710.0,1420.0,1026.0,866.0,721.0,480.0,
20230104,수,한강대교,C-09,유입,한강대교남단->한강대교북단,859.0,558.0,404.0,357.0,519.0,1188.0,2224.0,2962.0,2502.0,2641.0,2710.0,2457.0,2302.0,2467.0,2178.0,2236.0,2233.0,2144.0,2077.0,1569.0,1532.0,1547.0,1397.0,1186.0,
20230104,수,한강대교,C-09,유출,한강대교북단->한강대교남단,1134.0,775.0,589.0,410.0,480.0,804.0,1553.0,1826.0,1959.0,1762.0,1784.0,1722.0,1715.0,1760.0,1987.0,2153.0,2712.0,3066.0,4031.0,3656.0,2717.0,2514.0,2170.0,1624.0,
20230105,목,서강대교,C-06,유입,서강대교남단->서강대교북단,200.0,168.0,108.0,88.0,100.0,256.0,501.0,802.0,1117.0,1194.0,1115.0,1090.0,876.0,1031.0,987.0,947.0,1041.0,1432.0,1883.0,1138.0,768.0,694.0,523.0,321.0,
20230105,목,서강대교,C-06,유출,서강대교북단->서강대교남단,280.0,213.0,134.0,265.0,225.0,277.0,647.0,1724.0,2113.0,1454.0,1211.0,1214.0,1082.0,1165.0,1241.0,1364.0,1455.0,1469.0,1149.0,826.0,809.0,818.0,823.0,479.0,
20230105,목,마포대교,C-07,유입,마포대교남단->마포대교북단,1156.0,781.0,532.0,418.0,501.0,1340.0,2680.0,3725.0,4009.0,3937.0,3799.0,3529.0,2973.0,2957.0,3168.0,3072.0,3189.0,3912.0,4135.0,3314.0,2805.0,2631.0,2247.0,1706.0,
20230105,목,마포대교,C-07,유출,마포대교북단->마포대교남단,761.0,552.0,392.0,355.0,444.0,790.0,1948.0,3733.0,3604.0,2841.0,2712.0,2717.0,2554.0,2924.0,2908.0,2963.0,3198.0,3283.0,3710.0,2882.0,2585.0,2360.0,2303.0,1256.0,
20230105,목,원효대교,C-08,유입,원효대교남단->원효대교북단,516.0,391.0,235.0,166.0,202.0,595.0,1078.0,1915.0,2263.0,2197.0,1920.0,1776.0,1390.0,1592.0,1607.0,1566.0,1496.0,1691.0,1510.0,1143.0,1069.0,977.0,844.0,702.0,
20230105,목,원효대교,C-08,유출,원효대교북단->원효대교남단,366.0,236.0,179.0,138.0,167.0,304.0,594.0,1302.0,1530.0,1148.0,1032.0,1204.0,1011.0,1208.0,1306.0,1508.0,1582.0,1726.0,1696.0,1340.0,986.0,890.0,770.0,488.0,
20230105,목,한강대교,C-09,유입,한강대교남단->한강대교북단,924.0,664.0,453.0,384.0,523.0,1116.0,2236.0,2949.0,2700.0,2727.0,2520.0,2494.0,2258.0,2220.0,2299.0,2036.0,2125.0,2136.0,1976.0,1517.0,1610.0,1594.0,1556.0,1282.0,
20230105,목,한강대교,C-09,유출,한강대교북단->한강대교남단,1316.0,883.0,640.0,465.0,528.0,886.0,1593.0,1842.0,1999.0,1823.0,1844.0,1936.0,1787.0,2012.0,2133.0,2339.0,2633.0,3222.0,3762.0,3490.0,2874.0,2574.0,2377.0,1697.0,
20230106,금,서강대교,C-06,유입,서강대교남단->서강대교북단,235.0,198.0,151.0,89.0,113.0,271.0,514.0,805.0,1154.0,1315.0,1077.0,1112.0,914.0,1094.0,1065.0,1030.0,1239.0,1681.0,1972.0,1230.0,780.0,619.0,481.0,315.0,
20230106,금,서강대교,C-06,유출,서강대교북단->서강대교남단,329.0,233.0,161.0,266.0,247.0,289.0,613.0,1663.0,2089.0,1497.0,1222.0,1268.0,1313.0,1305.0,1270.0,1551.0,1441.0,1678.0,1131.0,949.0,857.0,776.0,726.0,420.0,
20230106,금,마포대교,C-07,유입,마포대교남단->마포대교북단,1225.0,936.0,606.0,393.0,542.0,1330.0,2791.0,3674.0,3945.0,3809.0,3452.0,3619.0,3039.0,3263.0,3425.0,3175.0,3511.0,4148.0,4142.0,3193.0,2898.0,2686.0,2196.0,1485.0,
20230106,금,마포대교,C-07,유출,마포대교북단->마포대교남단,877.0,538.0,401.0,390.0,484.0,800.0,1904.0,3658.0,3709.0,3147.0,2706.0,2652.0,2546.0,2912.0,2814.0,3117.0,3291.0,3579.0,3388.0,3279.0,2726.0,2735.0,2036.0,1193.0,
20230106,금,원효대교,C-08,유입,원효대교남단->원효대교북단,529.0,408.0,273.0,169.0,236.0,598.0,1059.0,1878.0,2283.0,2027.0,1774.0,1746.0,1540.0,1585.0,1628.0,1709.0,1700.0,1785.0,1666.0,1189.0,913.0,847.0,748.0,476.0,
20230106,금,원효대교,C-08,유출,원효대교북단->원효대교남단,396.0,271.0,228.0,152.0,193.0,279.0,523.0,1287.0,1493.0,1198.0,1145.0,1166.0,1122.0,1279.0,1320.0,1392.0,1690.0,1515.0,1484.0,1147.0,1058.0,900.0,659.0,431.0,
20230106,금,한강대교,C-09,유입,한강대교남단->한강대교북단,911.0,753.0,544.0,431.0,539.0,1188.0,2177.0,2977.0,2665.0,2673.0,2594.0,2740.0,2133.0,2351.0,2262.0,2343.0,2301.0,2338.0,1951.0,1738.0,1520.0,1625.0,1599.0,1285.0,
20230106,금,한강대교,C-09,유출,한강대교북단->한강대교남단,1277.0,950.0,759.0,475.0,521.0,924.0,1610.0,1919.0,1988.0,1903.0,1807.0,1883.0,1976.0,1820.0,2130.0,2218.0,2801.0,3545.0,3783.0,3309.0,3346.0,3371.0,2651.0,1921.0,
20230107,토,서강대교,C-06,유입,서강대교남단->서강대교북단,210.0,163.0,127.0,86.0,107.0,187.0,311.0,398.0,593.0,808.0,947.0,1133.0,1213.0,1194.0,1203.0,1082.0,1131.0,970.0,948.0,624.0,548.0,553.0,394.0,285.0,
20230107,토,서강대교,C-06,유출,서강대교북단->서강대교남단,283.0,230.0,175.0,145.0,282.0,302.0,289.0,426.0,602.0,788.0,979.0,1223.0,1248.0,1110.0,1389.0,1424.0,1330.0,1385.0,961.0,735.0,739.0,724.0,637.0,505.0,
