일자,traffic_total,target_total,weekday_num,요일
2023-06-01,189612.0,5180,3,목요일
2023-06-02,193338.0,6116,4,금요일
2023-06-03,163873.0,379,5,토요일
2023-06-05,175695.0,5138,0,월요일
2023-06-06,126988.0,8180,1,화요일
2023-06-07,184403.0,4902,2,수요일
2023-06-08,186248.0,4248,3,목요일
2023-06-09,192168.0,5991,4,금요일
2023-06-10,149392.0,6537,5,토요일
2023-06-11,129099.0,7644,6,일요일
2023-06-12,202368.0,4704,0,월요일
2023-06-13,211848.0,5500,1,화요일
2023-06-14,207304.0,5228,2,수요일
2023-06-15,216221.0,5683,3,목요일
2023-06-16,197216.0,6576,4,금요일
2023-06-17,175963.0,4936,5,토요일
2023-06-18,152973.0,8972,6,일요일
2023-06-19,181819.0,5058,0,월요일
2023-06-20,189127.0,4529,1,화요일
2023-06-21,202733.0,4136,2,수요일
2023-06-22,213176.0,5457,3,목요일
2023-06-23,220430.0,6210,4,금요일
2023-06-24,191349.0,8235,5,토요일
2023-06-25,135359.0,8523,6,일요일
2023-06-26,175545.0,3589,0,월요일
2023-06-27,187408.0,4992,1,화요일
2023-06-28,186059.0,4927,2,수요일
2023-06-29,177479.0,3249,3,목요일
2023-06-30,194828.0,5238,4,금요일
2023-07-01,160895.0,7423,5,토요일
2023-07-02,130785.0,7818,6,일요일
2023-07-03,177883.0,4705,0,월요일
2023-07-04,181194.0,3404,1,화요일
2023-07-05,183551.0,4967,2,수요일
2023-07-06,191689.0,4985,3,목요일
2023-07-07,219540.0,6112,4,금요일
2023-07-08,180135.0,7389,5,토요일
2023-07-09,139650.0,5458,6,일요일
2023-07-10,200997.0,4500,0,월요일
2023-07-11,202785.0,2079,1,화요일
2023-07-12,210370.0,4602,2,수요일
2023-07-13,199955.0,2841,3,목요일
2023-07-14,203206.0,738,4,금요일
2023-07-15,171909.0,1,5,토요일
2023-07-17,195039.0,1289,0,월요일
2023-07-18,205695.0,3794,1,화요일
2023-07-19,211963.0,4479,2,수요일
2023-07-20,217549.0,4765,3,목요일
2023-07-21,221089.0,5199,4,금요일
2023-07-22,178936.0,3811,5,토요일
2023-07-23,132474.0,2985,6,일요일
2023-07-24,199457.0,4369,0,월요일
2023-07-25,208909.0,4403,1,화요일
2023-07-26,213852.0,4773,2,수요일
2023-07-27,213708.0,5153,3,목요일
2023-07-28,219889.0,5705,4,금요일
2023-07-29,176861.0,6749,5,토요일
2023-07-30,151862.0,5552,6,일요일
2023-07-31,202043.0,5447,0,월요일
2023-08-01,208253.0,5714,1,화요일
2023-08-02,209082.0,5713,2,수요일
2023-08-03,210545.0,5546,3,목요일
2023-08-04,216295.0,6156,4,금요일
2023-08-05,174419.0,6297,5,토요일
2023-08-06,146737.0,6312,6,일요일
2023-08-07,200236.0,4599,0,월요일
2023-08-08,215196.0,5394,1,화요일
2023-08-09,215955.0,2573,2,수요일
2023-08-10,180609.0,1975,3,목요일
2023-08-11,209569.0,3289,4,금요일
2023-08-12,178015.0,5911,5,토요일
2023-08-13,149730.0,8320,6,일요일
2023-08-14,199191.0,6502,0,월요일
2023-08-15,147634.0,6767,1,화요일
2023-08-16,214331.0,5052,2,수요일
2023-08-17,216583.0,4944,3,목요일
2023-08-18,220973.0,5587,4,금요일
2023-08-19,184199.0,6909,5,토요일
2023-08-20,148216.0,7287,6,일요일
2023-08-21,205363.0,4533,0,월요일
2023-08-22,213045.0,3596,1,화요일
2023-08-23,206701.0,3185,2,수요일
2023-08-24,213226.0,4433,3,목요일
2023-08-25,226164.0,6080,4,금요일
2023-08-26,191530.0,7469,5,토요일
2023-08-27,155789.0,7323,6,일요일
2023-08-28,203558.0,3644,0,월요일
2023-08-29,206843.0,3601,1,화요일
2023-08-30,217192.0,4261,2,수요일
2023-08-31,193756.0,6211,3,목요일
2023-09-01,216521.0,7147,4,금요일
2023-09-02,192946.0,9070,5,토요일
2023-09-03,156773.0,8257,6,일요일
2023-09-04,207579.0,5180,0,월요일
2023-09-05,216070.0,4971,1,화요일
2023-09-06,219675.0,5580,2,수요일
2023-09-07,221204.0,5456,3,목요일
2023-09-08,226853.0,7278,4,금요일
2023-09-09,197321.0,8681,5,토요일
2023-09-10,157854.0,8787,6,일요일
2023-09-11,209096.0,5154,0,월요일
2023-09-12,218400.0,5124,1,화요일
2023-09-13,218093.0,3687,2,수요일
2023-09-14,221366.0,5312,3,목요일
2023-09-15,217149.0,2989,4,금요일
2023-09-16,189536.0,5418,5,토요일
2023-09-17,161367.0,8070,6,일요일
2023-09-18,50965.0,5496,0,월요일
2023-09-19,0.0,5283,1,화요일
2023-09-20,148858.0,3694,2,수요일
2023-09-21,225370.0,5505,3,목요일
2023-09-22,235131.0,7349,4,금요일
2023-09-23,204850.0,9348,5,토요일
2023-09-24,166202.0,10228,6,일요일
2023-09-25,218797.0,4416,0,월요일
2023-09-26,220281.0,3336,1,화요일
2023-09-27,217700.0,4914,2,수요일
