weekday_num,요일,subway_total_sum,actual_usage_sum,표본일수,subway_scaled_0_1,actual_scaled_0_1,weekday_corr_7pt
0,월요일,4570494,238727,52,0.8213385091741155,0.0673274260536324,-0.9209872322570383
1,화요일,4719727,235311,52,0.8794316384946151,0.034101409382264546,-0.9209872322570383
2,수요일,4880654,231805,52,0.9420769851817422,0.0,-0.9209872322570383
3,목요일,4916509,236019,52,0.9560345492043546,0.040987832041318534,-0.9209872322570383
4,금요일,5029450,265393,52,1.0,0.3266965597066462,-0.9209872322570383
5,토요일,3449689,289050,52,0.38503373872748126,0.5567983970586805,-0.9209872322570383
6,일요일,2460592,334616,51,0.0,1.0,-0.9209872322570383
